F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
A36,,USA,,,,,112,500 LB GP (GP-M43/M64),,28,,,,,5/6/1944,92654,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,MONTE FIASCONE,ITALY,42.53,12.05,MTO,,28
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/6/1944,92676,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,VITERBO,ITALY,42.42,12.12,MTO,,4
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,5/6/1944,92684,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,FABRICA DI ROMA,ITALY,42.3,12.3,MTO,,3
SBD DAUNTLESS,,NEW ZEALAND,,,,0,12,1000 LB GP (GP-M44/M65),12000,6,,,,0,5/6/1944,92690,"""PIVA AIRSTRIP, BOUGAINVILLE""",-6.216667,SOLOMON ISLANDS,155.066667,RATAVAL,BISMARK ARCHIPELAGO,-4.183333333,152.15,PTO,12000,6
TBF AVENGER,,NEW ZEALAND,,,,0,,100 LB GP (GP-M30),10800,5.4,,,,0,5/6/1944,93081,ESPIRITU SANTO,-15.25,NEW HEBRIDES,166.833333,RATAVAL,BISMARK ARCHIPELAGO,-4.183333333,152.15,PTO,10800,5.4
A36,,USA,,,,,112,500 LB GP (GP-M43/M64),,28,,,,,5/7/1944,93405,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,SUTRI,ITALY,42.23,12.22,MTO,,28
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/7/1944,93437,CASTEL VOLTURNO AIRFIELD,41.036617,ITALY,13.960642,CIVITA CASTELLANA,ITALY,42.27,12.4,MTO,,4
A36,,USA,,,,,128,500 LB GP (GP-M43/M64),,32,,,,,5/8/1944,94612,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,VETRALLO,ITALY,42.32,12.07,MTO,,32
LIB,60,GREAT BRITAIN,,,,0,,,,,,,,0,4/19/1945,96400,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,MALALBERGE TOWN - ROADS AND SUPPLY DUMPS,,44.72,11.53,,,246.5
TBF AVENGER,,NEW ZEALAND,,,,0,36,500 LB GP (GP-M43/M64),18000,9,,,,0,5/11/1944,97805,ESPIRITU SANTO,-15.25,NEW HEBRIDES,166.833333,MOTUPENA POINT,SOLOMON ISLANDS,-6.583333333,155.0833333,PTO,18000,9
TBF AVENGER,,NEW ZEALAND,,,,0,24,500 LB GP (GP-M43/M64),12000,6,,,,0,5/12/1944,98631,ESPIRITU SANTO,-15.25,NEW HEBRIDES,166.833333,MATUPI ISLAND,,-4.25,152.2,PTO,12000,6
A36,,USA,,,,,168,500 LB GP (GP-M43/M64),,42,,,,,5/13/1944,100201,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,PIGLIO,ITALY,41.82,13.13,MTO,,42
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/13/1944,100233,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,PICO,ITALY,41.45,13.58,MTO,,4
,,GREAT BRITAIN,,,,,,,0,,,,,,8/19/1941,100444,KHARTOUM,15.58,SUDAN,32.52,WOLCHEFIT & DEBARECH,ETHIOPIA,13.183,37.95,MTO,0,0
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/17/1944,100929,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,VINCENZA A/D,GREECE,45.55,11.57,MTO,,104.625
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/14/1944,101443,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,TERRACINA,ITALY,41.27,13.25,MTO,,4
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/15/1944,102211,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,ESPERIA,ITALY,41.38,13.68,MTO,,4
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/19/1944,102504,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,NOVI PAZAR-SJENICA,YUGOSLAVIA,43.13,20.48,MTO,,33.25
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/19/1944,102505,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,SJENICA-PRIBEJ,YUGOSLAVIA,42.89,18.96,MTO,,47.5
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/19/1944,102511,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,PODGORICA BRIDGE & TROOP CONCENTRATIONS,,42.43,19.28,,,251.625
A36,,USA,,,,,8,500 LB GP (GP-M43/M64),,2,,,,,5/16/1944,102674,SANTA MARIA AIRFIELD,40.838125,ITALY,14.349381,SAN GIOVANNI,ITALY,38.22,15.22,MTO,,2
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/20/1944,103409,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,VISEGRAD RIVER PONTOON BRIDGE,,43.78,19.3,,,116.5
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/22/1944,105496,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,SZOMBATHELY M/Y,,47.23,16.62,,,125.375
A36,,USA,,,,,96,500 LB GP (GP-M43/M64),,24,,,,,5/21/1944,106086,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,VITERBO,ITALY,42.42,12.12,MTO,,24
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/23/1944,106202,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,UZICE TOWN,CZECHOSLOVAKIA,49.87,14.98,ETO,,93.75
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,11/23/1944,106221,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ROGATICA,YUGOSLAVIA,43.8,19,MTO,,122.625
TBF AVENGER,,NEW ZEALAND,,,,0,144,500 LB GP (GP-M43/M64),72000,36,,,,0,5/22/1944,106872,ESPIRITU SANTO,-15.25,NEW HEBRIDES,166.833333,TALILI BAY,BISMARK ARCHIPELAGO,-4.183333333,152.1166667,PTO,72000,36
A36,,USA,,,,,100,500 LB GP (GP-M43/M64),,25,,,,,5/22/1944,106873,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,VALMONTONE,ITALY,41.77,12.95,MTO,,25
A36,,USA,,,,,16,500 LB GP (GP-M43/M64),,4,,,,,5/22/1944,106894,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,VALLECORSA,ITALY,41.42,13.45,MTO,,4
A36,,USA,,,,,12,500 LB GP (GP-M43/M64),,3,,,,,5/24/1944,108839,MARCIANISE AIRFIELD,41.115481,ITALY,14.176319,SUBIACO,ITALY,41.93,13.1,MTO,,3
